,ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW,Year,Month,Day,Hurricane Name,Hurricane Year,Hurricane Month,Total Deaths,US Impact? 1=yes
0,AL071969,BLANCHE,19690811,1800.0,,HU,35.5N,69.9W,75.0,997.0,,,,,,,,,,,,,1969,8,11,BLANCHE,1969,8,0,0
1,AL081969,DEBBIE,19690816,1800.0,,HU,15.5N,48.0W,65.0,,,,,,,,,,,,,,1969,8,16,DEBBIE,1969,8,0,0
2,AL091969,CAMILLE,19690815,2200.0,L,HU,21.9N,84.3W,95.0,,,,,,,,,,,,,,1969,8,15,CAMILLE,1969,8,296,1
3,AL131969,FRANCELIA,19690901,1800.0,,HU,17.3N,83.2W,65.0,995.0,,,,,,,,,,,,,1969,9,1,FRANCELIA,1969,9,0,0
4,AL161969,GERDA,19690908,1800.0,,HU,32.0N,78.0W,65.0,,,,,,,,,,,,,,1969,9,8,GERDA,1969,9,0,1
5,AL171969,HOLLY,19690915,1800.0,,HU,14.5N,49.5W,75.0,992.0,,,,,,,,,,,,,1969,9,15,HOLLY,1969,9,0,0
6,AL201969,INGA,19690930,0.0,,HU,26.1N,64.7W,65.0,,,,,,,,,,,,,,1969,9,30,INGA,1969,9,0,1
7,AL251969,KARA,19691015,600.0,,HU,32.2N,74.5W,65.0,,,,,,,,,,,,,,1969,10,15,KARA,1969,10,0,0
8,AL261969,LAURIE,19691020,1200.0,,HU,24.3N,91.0W,65.0,993.0,,,,,,,,,,,,,1969,10,20,LAURIE,1969,10,0,1
9,AL291969,MARTHA,19691122,0.0,,HU,10.3N,81.0W,65.0,,,,,,,,,,,,,,1969,11,22,MARTHA,1969,11,0,0
10,AL011970,ALMA,19700520,1200.0,,HU,16.8N,81.9W,65.0,,,,,,,,,,,,,,1970,5,20,ALMA,1970,5,1,1
11,AL041970,CELIA,19700802,0.0,,HU,24.3N,87.2W,100.0,965.0,,,,,,,,,,,,,1970,8,2,CELIA,1970,8,23,1
12,AL121970,ELLA,19700911,0.0,,HU,23.0N,90.8W,65.0,993.0,,,,,,,,,,,,,1970,9,11,ELLA,1970,9,0,1
13,AL061971,BETH,19710815,0.0,,HU,37.2N,69.9W,70.0,990.0,,,,,,,,,,,,,1971,8,15,BETH,1971,8,0,1
14,AL111971,FERN,19710909,0.0,,HU,26.4N,93.7W,65.0,987.0,,,,,,,,,,,,,1971,9,9,FERN,1971,9,0,1
15,AL131971,EDITH,19710908,600.0,,HU,13.2N,73.8W,65.0,993.0,,,,,,,,,,,,,1971,9,8,EDITH,1971,9,0,1
16,AL141971,GINGER,19710911,1200.0,,HU,27.9N,63.3W,65.0,991.0,,,,,,,,,,,,,1971,9,11,GINGER,1971,9,1,1
17,AL181971,IRENE,19710918,1800.0,,HU,11.4N,82.3W,70.0,993.0,,,,,,,,,,,,,1971,9,18,IRENE,1971,9,0,0
18,AL021972,AGNES,19720618,1200.0,,HU,23.8N,85.6W,65.0,986.0,,,,,,,,,,,,,1972,6,18,AGNES,1972,6,114,1
19,AL101972,BETTY,19720827,1200.0,,HU,38.8N,46.6W,80.0,987.0,,,,,,,,,,,,,1972,8,27,BETTY,1972,8,0,0
20,AL131972,DAWN,19720907,1800.0,,HU,33.8N,70.4W,65.0,,,,,,,,,,,,,,1972,9,7,DAWN,1972,9,0,1
21,AL041973,ALICE,19730703,1800.0,,HU,30.6N,65.4W,65.0,,,,,,,,,,,,,,1973,7,3,ALICE,1973,7,0,0
22,AL081973,BRENDA,19730820,1800.0,,HU,19.8N,91.7W,65.0,,,,,,,,,,,,,,1973,8,20,BRENDA,1973,8,0,0
23,AL121973,ELLEN,19730919,0.0,,HU,26.9N,47.0W,65.0,,,,,,,,,,,,,,1973,9,19,ELLEN,1973,9,0,0
24,AL141973,FRAN,19731010,0.0,,HU,31.9N,55.2W,65.0,998.0,,,,,,,,,,,,,1973,10,10,FRAN,1973,10,0,0
25,AL091974,BECKY,19740828,1800.0,,HU,33.7N,67.8W,65.0,1000.0,,,,,,,,,,,,,1974,8,28,BECKY,1974,8,0,0
26,AL101974,CARMEN,19740831,1200.0,,HU,17.0N,76.0W,65.0,988.0,,,,,,,,,,,,,1974,8,31,CARMEN,1974,8,2,1
