,ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW,Year,Month,Day,Hurricane Name,Hurricane Year,Hurricane Month,Total Deaths,US Impact? 1=yes
2,AL091969,CAMILLE,19690815,2200.0,L,HU,21.9N,84.3W,95.0,,,,,,,,,,,,,,1969,8,15,CAMILLE,1969,8,296,1
4,AL161969,GERDA,19690908,1800.0,,HU,32.0N,78.0W,65.0,,,,,,,,,,,,,,1969,9,8,GERDA,1969,9,0,1
6,AL201969,INGA,19690930,0.0,,HU,26.1N,64.7W,65.0,,,,,,,,,,,,,,1969,9,30,INGA,1969,9,0,1
8,AL261969,LAURIE,19691020,1200.0,,HU,24.3N,91.0W,65.0,993.0,,,,,,,,,,,,,1969,10,20,LAURIE,1969,10,0,1
10,AL011970,ALMA,19700520,1200.0,,HU,16.8N,81.9W,65.0,,,,,,,,,,,,,,1970,5,20,ALMA,1970,5,1,1
11,AL041970,CELIA,19700802,0.0,,HU,24.3N,87.2W,100.0,965.0,,,,,,,,,,,,,1970,8,2,CELIA,1970,8,23,1
12,AL121970,ELLA,19700911,0.0,,HU,23.0N,90.8W,65.0,993.0,,,,,,,,,,,,,1970,9,11,ELLA,1970,9,0,1
13,AL061971,BETH,19710815,0.0,,HU,37.2N,69.9W,70.0,990.0,,,,,,,,,,,,,1971,8,15,BETH,1971,8,0,1
14,AL111971,FERN,19710909,0.0,,HU,26.4N,93.7W,65.0,987.0,,,,,,,,,,,,,1971,9,9,FERN,1971,9,0,1
15,AL131971,EDITH,19710908,600.0,,HU,13.2N,73.8W,65.0,993.0,,,,,,,,,,,,,1971,9,8,EDITH,1971,9,0,1
16,AL141971,GINGER,19710911,1200.0,,HU,27.9N,63.3W,65.0,991.0,,,,,,,,,,,,,1971,9,11,GINGER,1971,9,1,1
18,AL021972,AGNES,19720618,1200.0,,HU,23.8N,85.6W,65.0,986.0,,,,,,,,,,,,,1972,6,18,AGNES,1972,6,114,1
20,AL131972,DAWN,19720907,1800.0,,HU,33.8N,70.4W,65.0,,,,,,,,,,,,,,1972,9,7,DAWN,1972,9,0,1
26,AL101974,CARMEN,19740831,1200.0,,HU,17.0N,76.0W,65.0,988.0,,,,,,,,,,,,,1974,8,31,CARMEN,1974,8,2,1
30,AL071975,CAROLINE,19750830,0.0,,HU,23.3N,94.2W,65.0,990.0,,,,,,,,,,,,,1975,8,30,CAROLINE,1975,8,2,1
32,AL131975,ELOISE,19750916,1800.0,,HU,19.5N,68.4W,65.0,1002.0,,,,,,,,,,,,,1975,9,16,ELOISE,1975,9,55,1
33,AL141975,FAYE,19750926,0.0,,HU,26.5N,60.0W,65.0,990.0,,,,,,,,,,,,,1975,9,26,FAYE,1975,9,0,1
35,AL071976,BELLE,19760807,1800.0,,HU,26.6N,74.2W,70.0,985.0,,,,,,,,,,,,,1976,8,7,BELLE,1976,8,9,1
