,Hurricane ID,Hurricane Name,Hurricane Year,Hurricane Month,_name,state_name,Number of Fatalities,lat,lng,population
0,AL071969,BLANCHE,1969,8,NaN,,0.0,,,0
1,AL081969,DEBBIE,1969,8,NaN,,0.0,,,0
2,AL091969,CAMILLE,1969,8,Nelson,Virginia,153.0,37.8,-78.9,15018
3,AL091969,CAMILLE,1969,8,Harrison,Mississippi,24.0,30.4,-89.1,190928
4,AL091969,CAMILLE,1969,8,NaN,Alabama,60.0,,,0
5,AL091969,CAMILLE,1969,8,NaN,Louisiana,59.0,,,0
6,AL131969,FRANCELIA,1969,9,NaN,,0.0,,,0
7,AL161969,GERDA,1969,9,NaN,,0.0,,,0
8,AL171969,HOLLY,1969,9,NaN,,0.0,,,0
9,AL201969,INGA,1969,9,NaN,,0.0,,,0
10,AL251969,KARA,1969,10,NaN,,0.0,,,0
11,AL261969,LAURIE,1969,10,NaN,,0.0,,,0
12,AL291969,MARTHA,1969,11,NaN,,0.0,,,0
13,AL011970,ALMA,1970,5,Miami Dade,Florida,1.0,25.6,-80.5,0
14,AL041970,CELIA,1970,8,Escambia,Florida,8.0,30.6,-87.3,299366
15,AL041970,CELIA,1970,8,Nueces,Texas,8.0,27.7,-97.5,343225
16,AL041970,CELIA,1970,8,Jim Wells,Texas,7.0,27.7,-98.1,41206
17,AL121970,ELLA,1970,9,NaN,,0.0,,,0
18,AL061971,BETH,1971,8,NaN,,0.0,,,0
19,AL111971,FERN,1971,9,NaN,,0.0,,,0
20,AL131971,EDITH,1971,9,NaN,,0.0,,,0
21,AL141971,GINGER,1971,9,District of Columbia,District of Columbia,1.0,38.9,-77.0,620336
22,AL181971,IRENE,1971,9,NaN,,0.0,,,0
23,AL021972,AGNES,1972,6,Okeechobee,Florida,9.0,27.4,-80.9,39854
24,AL021972,AGNES,1972,6,Dare,North Carolina,2.0,35.6,-75.8,34178
25,AL021972,AGNES,1972,6,Richmond,Virginia,13.0,37.9,-76.7,9207
26,AL021972,AGNES,1972,6,Sussex,Delaware,1.0,38.7,-75.3,200453
27,AL021972,AGNES,1972,6,Baltimore,Maryland,19.0,39.3,-76.6,813280
28,AL021972,AGNES,1972,6,NaN,New Jersey,1.0,,,0
29,AL021972,AGNES,1972,6,NaN,New York,19.0,,,0
30,AL021972,AGNES,1972,6,NaN,Pennsylvania,50.0,,,0
31,AL101972,BETTY,1972,8,NaN,,0.0,,,0
32,AL131972,DAWN,1972,9,NaN,,0.0,,,0
33,AL041973,ALICE,1973,7,NaN,,0.0,,,0
34,AL081973,BRENDA,1973,8,NaN,,0.0,,,0
35,AL121973,ELLEN,1973,9,NaN,,0.0,,,0
36,AL141973,FRAN,1973,10,NaN,,0.0,,,0
37,AL091974,BECKY,1974,8,NaN,,0.0,,,0
38,AL101974,CARMEN,1974,8,Bienville,Louisiana,2.0,32.3,-93.1,0
39,AL141974,FIFI,1974,9,NaN,,0.0,,,0
40,AL171974,GERTRUDE,1974,9,NaN,,0.0,,,0
41,AL041975,BLANCHE,1975,7,NaN,,0.0,,,0
42,AL071975,CAROLINE,1975,8,NaN,,0.0,,,0
43,AL081975,DORIS,1975,8,NaN,,0.0,,,0
44,AL131975,ELOISE,1975,9,Juana Díaz,Puerto Rico,34.0,,,0
45,AL131975,ELOISE,1975,9,Miami Dade,Florida,4.0,25.6,-80.5,0
46,AL131975,ELOISE,1975,9,Westchester,New York,1.0,41.2,-73.7,957693
47,AL141975,FAYE,1975,9,NaN,,0.0,,,0
48,AL151975,GLADYS,1975,9,NaN,,0.0,,,0
49,AL071976,BELLE,1976,8,Gates,North Carolina,5.0,36.4,-76.7,12043
50,AL071976,BELLE,1976,8,Nassau,New York,1.0,40.7,-73.6,1347483
51,AL071976,BELLE,1976,8,Litchfield,Connecticut,1.0,41.8,-73.2,189076
52,AL071976,BELLE,1976,8,Chittenden,Vermont,2.0,44.5,-73.1,157618
53,AL091976,CANDICE,1976,8,NaN,,0.0,,,0
54,AL101976,EMMY,1976,8,NaN,,0.0,,,0
55,AL111976,FRANCES,1976,8,NaN,,0.0,,,0
56,AL171976,GLORIA,1976,9,NaN,,0.0,,,0
57,AL211976,HOLLY,1976,10,NaN,,0.0,,,0
58,AL051977,ANITA,1977,8,NaN,,0.0,,,0
59,AL061977,BABE,1977,9,NaN,,0.0,,,0
60,AL071977,CLARA,1977,9,NaN,,0.0,,,0
61,AL101977,DOROTHY,1977,9,NaN,,0.0,,,0
62,AL131977,EVELYN,1977,10,NaN,,0.0,,,0
63,AL061978,CORA,1978,8,NaN,,0.0,,,0
64,AL101978,ELLA,1978,8,NaN,,0.0,,,0
65,AL131978,FLOSSIE,1978,9,NaN,,0.0,,,0
66,AL161978,GRETA,1978,9,NaN,,0.0,,,0
67,AL231978,KENDRA,1978,10,NaN,,0.0,,,0
68,AL041979,BOB,1979,7,Orleans,Louisiana,1.0,30.1,-89.9,0
69,AL091979,DAVID,1979,8,Toa Baja,Puerto Rico,3.0,,,0
70,AL091979,DAVID,1979,8,Guaynabo,Puerto Rico,1.0,,,0
71,AL091979,DAVID,1979,8,San Sebastián,Puerto Rico,1.0,,,0
72,AL091979,DAVID,1979,8,Fairfax,Virginia,1.0,38.8,-77.3,1105720
73,AL111979,FREDERIC,1979,9,Escambia,Florida,1.0,30.6,-87.3,299366
74,AL111979,FREDERIC,1979,9,NaN,Alabama,3.0,,,0
75,AL111979,FREDERIC,1979,9,NaN,Mississippi,1.0,,,0
76,AL141979,GLORIA,1979,9,NaN,,0.0,,,0
77,AL151979,HENRI,1979,9,NaN,,0.0,,,0
78,AL041980,ALLEN,1980,8,Terrebonne,Louisiana,17.0,29.3,-90.8,0
79,AL041980,ALLEN,1980,8,Nueces,Texas,2.0,27.7,-97.5,343225
80,AL061980,BONNIE,1980,8,NaN,,0.0,,,0
81,AL071980,CHARLEY,1980,8,NaN,,0.0,,,0
82,AL091980,GEORGES,1980,9,NaN,,0.0,,,0
83,AL101980,EARL,1980,9,NaN,,0.0,,,0
84,AL121980,FRANCES,1980,9,NaN,,0.0,,,0
85,AL141980,IVAN,1980,10,NaN,,0.0,,,0
86,AL161980,JEANNE,1980,11,NaN,,0.0,,,0
87,AL181980,KARL,1980,11,NaN,,0.0,,,0
88,AL101981,DENNIS,1981,8,NaN,,0.0,,,0
89,AL131981,EMILY,1981,9,NaN,,0.0,,,0
90,AL141981,FLOYD,1981,9,NaN,,0.0,,,0
91,AL151981,GERT,1981,9,NaN,,0.0,,,0
92,AL161981,HARVEY,1981,9,NaN,,0.0,,,0
93,AL181981,IRENE,1981,9,NaN,,0.0,,,0
94,AL211981,KATRINA,1981,11,NaN,,0.0,,,0
95,AL011982,ALBERTO,1982,6,NaN,,0.0,,,0
96,AL061982,DEBBY,1982,9,NaN,,0.0,,,0
97,AL031983,ALICIA,1983,8,Dallas,Texas,2.0,32.8,-96.8,2408133
98,AL031983,ALICIA,1983,8,Harris,Texas,7.0,29.9,-95.4,4180816
99,AL031983,ALICIA,1983,8,Montgomery,Texas,2.0,30.3,-95.5,471438
100,AL031983,ALICIA,1983,8,Galveston,Texas,2.0,29.2,-94.9,295609
101,AL041983,BARRY,1983,8,NaN,,0.0,,,0
102,AL051983,CHANTAL,1983,9,NaN,,0.0,,,0
103,AL101984,DIANA,1984,9,NaN,,0.0,,,0
104,AL141984,HORTENSE,1984,9,NaN,,0.0,,,0
105,AL161984,JOSEPHINE,1984,10,Plymouth,Massachusetts,1.0,42.0,-70.7,498198
106,AL181984,KLAUS,1984,11,NaN,,0.0,,,0
107,AL201984,LILI,1984,12,NaN,,0.0,,,0
108,AL021985,BOB,1985,7,Montgomery,Maryland,2.0,39.1,-77.2,993326
109,AL021985,BOB,1985,7,District of Columbia,District of Columbia,1.0,38.9,-77.0,620336
110,AL021985,BOB,1985,7,Laurel,Maryland,1.0,,,0
111,AL021985,BOB,1985,7,Washington,Maryland,1.0,39.6,-77.8,148755
112,AL031985,CLAUDETTE,1985,8,NaN,,0.0,,,0
113,AL041985,DANNY,1985,8,Walker,Alabama,1.0,33.8,-87.3,66577
114,AL051985,ELENA,1985,8,Volusia,Florida,1.0,29.1,-81.2,494479
115,AL051985,ELENA,1985,8,Baxter,Arkansas,1.0,36.3,-92.3,41341
116,AL051985,ELENA,1985,8,Kent,Maryland,1.0,39.2,-76.1,20250
117,AL051985,ELENA,1985,8,Henrico,Virginia,1.0,37.4,-77.3,310812
118,AL091985,GLORIA,1985,9,New Haven,Connecticut,1.0,41.3,-72.9,864725
119,AL091985,GLORIA,1985,9,Middlesex,Connecticut,2.0,41.4,-72.5,166265
120,AL091985,GLORIA,1985,9,Monmouth,New Jersey,1.0,40.3,-74.2,629757
