,ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW
0,AL011950,ABLE,19500812.0,0.0,,TS,17.1N,55.5W,35.0,,,,,,,,,,,,,
1,AL011950,ABLE,19500812.0,600.0,,TS,17.7N,56.3W,40.0,,,,,,,,,,,,,
2,AL011950,ABLE,19500812.0,1200.0,,TS,18.2N,57.4W,45.0,,,,,,,,,,,,,
3,AL011950,ABLE,19500812.0,1800.0,,TS,19.0N,58.6W,50.0,,,,,,,,,,,,,
4,AL011950,ABLE,19500813.0,0.0,,TS,20.0N,60.0W,50.0,,,,,,,,,,,,,
5,AL011950,ABLE,19500813.0,600.0,,TS,20.7N,61.1W,50.0,,,,,,,,,,,,,
6,AL011950,ABLE,19500813.0,1200.0,,TS,21.3N,62.2W,55.0,,,,,,,,,,,,,
7,AL011950,ABLE,19500813.0,1800.0,,TS,22.0N,63.2W,55.0,997.0,,,,,,,,,,,,
8,AL011950,ABLE,19500814.0,0.0,,TS,22.7N,63.8W,60.0,995.0,,,,,,,,,,,,
9,AL011950,ABLE,19500814.0,600.0,,TS,23.1N,64.6W,60.0,,,,,,,,,,,,,
10,AL011950,ABLE,19500814.0,1200.0,,TS,23.4N,65.4W,60.0,995.0,,,,,,,,,,,,
11,AL011950,ABLE,19500814.0,1800.0,,HU,23.9N,66.0W,65.0,989.0,,,,,,,,,,,,
12,AL011950,ABLE,19500815.0,0.0,,HU,24.4N,66.2W,65.0,,,,,,,,,,,,,
13,AL011950,ABLE,19500815.0,600.0,,HU,24.8N,66.5W,65.0,,,,,,,,,,,,,
14,AL011950,ABLE,19500815.0,1200.0,,HU,25.2N,66.8W,70.0,987.0,,,,,,,,,,,,
15,AL011950,ABLE,19500815.0,1800.0,,HU,25.5N,67.5W,75.0,,,,,,,,,,,,,
16,AL011950,ABLE,19500816.0,0.0,,HU,25.7N,68.1W,80.0,,,,,,,,,,,,,
17,AL011950,ABLE,19500816.0,600.0,,HU,25.7N,68.7W,80.0,,,,,,,,,,,,,
18,AL011950,ABLE,19500816.0,1200.0,,HU,25.5N,69.3W,80.0,980.0,,,,,,,,,,,,
19,AL011950,ABLE,19500816.0,1800.0,,HU,25.4N,69.8W,85.0,,,,,,,,,,,,,
20,AL011950,ABLE,19500817.0,0.0,,HU,25.4N,70.6W,90.0,,,,,,,,,,,,,
21,AL011950,ABLE,19500817.0,600.0,,HU,25.4N,71.5W,95.0,,,,,,,,,,,,,
22,AL011950,ABLE,19500817.0,1200.0,,HU,25.5N,72.6W,100.0,962.0,,,,,,,,,,,,
23,AL011950,ABLE,19500817.0,1800.0,,HU,25.9N,73.3W,100.0,,,,,,,,,,,,,
24,AL011950,ABLE,19500818.0,0.0,,HU,26.7N,73.9W,100.0,,,,,,,,,,,,,
25,AL011950,ABLE,19500818.0,600.0,,HU,27.3N,74.4W,100.0,,,,,,,,,,,,,
26,AL011950,ABLE,19500818.0,1200.0,,HU,27.9N,74.9W,100.0,958.0,,,,,,,,,,,,
27,AL011950,ABLE,19500818.0,1800.0,,HU,28.4N,75.3W,105.0,,,,,,,,,,,,,
28,AL011950,ABLE,19500819.0,0.0,,HU,29.1N,75.5W,105.0,,,,,,,,,,,,,
29,AL011950,ABLE,19500819.0,600.0,,HU,29.9N,75.5W,105.0,,,,,,,,,,,,,
30,AL011950,ABLE,19500819.0,1200.0,,HU,30.7N,75.5W,105.0,953.0,,,,,,,,,,,,
31,AL011950,ABLE,19500819.0,1800.0,,HU,31.7N,75.5W,110.0,,,,,,,,,,,,,
32,AL011950,ABLE,19500820.0,0.0,,HU,32.8N,75.2W,110.0,,,,,,,,,,,,,
33,AL011950,ABLE,19500820.0,600.0,,HU,34.4N,74.3W,105.0,,,,,,,,,,,,,
34,AL011950,ABLE,19500820.0,1200.0,,HU,36.0N,72.7W,100.0,,,,,,,,,,,,,
35,AL011950,ABLE,19500820.0,1800.0,,HU,37.6N,71.0W,90.0,,,,,,,,,,,,,
36,AL011950,ABLE,19500821.0,0.0,,HU,39.3N,69.4W,80.0,,,,,,,,,,,,,
37,AL011950,ABLE,19500821.0,600.0,,HU,41.2N,67.3W,70.0,,,,,,,,,,,,,
38,AL011950,ABLE,19500821.0,1200.0,,HU,43.3N,65.0W,65.0,,,,,,,,,,,,,
39,AL011950,ABLE,19500821.0,1600.0,L,HU,44.6N,63.7W,65.0,,,,,,,,,,,,,
40,AL011950,ABLE,19500821.0,1800.0,,TS,45.5N,62.6W,45.0,,,,,,,,,,,,,
41,AL011950,ABLE,19500822.0,0.0,,EX,47.9N,59.8W,35.0,,,,,,,,,,,,,
42,AL011950,ABLE,19500822.0,600.0,,EX,50.0N,56.8W,30.0,,,,,,,,,,,,,
43,AL011950,ABLE,19500822.0,1200.0,,EX,52.0N,53.8W,30.0,,,,,,,,,,,,,
44,AL011950,ABLE,19500822.0,1800.0,,EX,53.6N,50.7W,30.0,,,,,,,,,,,,,
45,AL011950,ABLE,19500823.0,0.0,,EX,54.7N,47.7W,35.0,,,,,,,,,,,,,
46,AL011950,ABLE,19500823.0,600.0,,EX,55.3N,44.8W,35.0,,,,,,,,,,,,,
47,AL011950,ABLE,19500823.0,1200.0,,EX,55.3N,41.8W,35.0,,,,,,,,,,,,,
48,AL011950,ABLE,19500823.0,1800.0,,EX,54.5N,37.7W,30.0,,,,,,,,,,,,,
49,AL011950,ABLE,19500824.0,0.0,,EX,53.5N,33.7W,30.0,,,,,,,,,,,,,
50,AL011950,ABLE,19500824.0,600.0,,EX,52.5N,30.3W,30.0,,,,,,,,,,,,,
51,AL021950,BAKER,19500818.0,1200.0,,TD,12.0N,54.0W,30.0,,,,,,,,,,,,,
52,AL021950,BAKER,19500818.0,1800.0,,TD,12.5N,54.2W,30.0,,,,,,,,,,,,,
53,AL021950,BAKER,19500819.0,0.0,,TD,13.0N,54.4W,30.0,,,,,,,,,,,,,
54,AL021950,BAKER,19500819.0,600.0,,TD,13.5N,54.7W,30.0,,,,,,,,,,,,,
55,AL021950,BAKER,19500819.0,1200.0,,TS,14.0N,55.0W,35.0,,,,,,,,,,,,,
56,AL021950,BAKER,19500819.0,1800.0,,TS,14.5N,55.4W,40.0,,,,,,,,,,,,,
57,AL021950,BAKER,19500820.0,0.0,,TS,15.0N,55.9W,45.0,,,,,,,,,,,,,
58,AL021950,BAKER,19500820.0,600.0,,TS,15.5N,56.4W,50.0,,,,,,,,,,,,,
59,AL021950,BAKER,19500820.0,1200.0,,TS,16.0N,57.0W,55.0,,,,,,,,,,,,,
60,AL021950,BAKER,19500820.0,1800.0,,TS,16.3N,57.9W,60.0,,,,,,,,,,,,,
61,AL021950,BAKER,19500821.0,0.0,,HU,16.6N,58.8W,65.0,,,,,,,,,,,,,
62,AL021950,BAKER,19500821.0,600.0,,HU,16.8N,59.8W,70.0,,,,,,,,,,,,,
63,AL021950,BAKER,19500821.0,1200.0,,HU,16.9N,60.6W,70.0,990.0,,,,,,,,,,,,
64,AL021950,BAKER,19500821.0,1800.0,,HU,17.0N,61.0W,75.0,987.0,,,,,,,,,,,,
65,AL021950,BAKER,19500822.0,0.0,,HU,17.0N,61.4W,85.0,,,,,,,,,,,,,
66,AL021950,BAKER,19500822.0,600.0,,HU,16.9N,61.8W,75.0,,,,,,,,,,,,,
67,AL021950,BAKER,19500822.0,1200.0,L,TS,16.8N,62.2W,60.0,,,,,,,,,,,,,
68,AL021950,BAKER,19500822.0,1800.0,,TS,16.8N,62.9W,45.0,1003.0,,,,,,,,,,,,
69,AL021950,BAKER,19500823.0,0.0,,TS,17.0N,64.0W,45.0,,,,,,,,,,,,,
70,AL021950,BAKER,19500823.0,600.0,,TS,17.4N,65.1W,40.0,,,,,,,,,,,,,
71,AL021950,BAKER,19500823.0,1200.0,,TS,17.8N,66.2W,35.0,,,,,,,,,,,,,
72,AL021950,BAKER,19500823.0,1800.0,,TD,18.2N,67.3W,30.0,,,,,,,,,,,,,
73,AL021950,BAKER,19500824.0,0.0,,TD,18.6N,68.6W,30.0,,,,,,,,,,,,,
74,AL021950,BAKER,19500824.0,600.0,,TD,19.4N,70.0W,25.0,,,,,,,,,,,,,
75,AL021950,BAKER,19500824.0,1200.0,,TD,20.3N,71.7W,30.0,,,,,,,,,,,,,
76,AL021950,BAKER,19500824.0,1800.0,,TS,20.9N,73.4W,40.0,,,,,,,,,,,,,
77,AL021950,BAKER,19500825.0,0.0,,TS,21.3N,74.8W,45.0,,,,,,,,,,,,,
78,AL021950,BAKER,19500825.0,600.0,,TS,21.6N,76.6W,45.0,,,,,,,,,,,,,
79,AL021950,BAKER,19500825.0,1200.0,,TS,21.7N,78.1W,35.0,,,,,,,,,,,,,
80,AL021950,BAKER,19500825.0,1800.0,,TD,21.7N,79.1W,30.0,,,,,,,,,,,,,
81,AL021950,BAKER,19500826.0,0.0,,TS,21.7N,80.1W,35.0,,,,,,,,,,,,,
82,AL021950,BAKER,19500826.0,600.0,,TS,21.7N,81.2W,45.0,,,,,,,,,,,,,
83,AL021950,BAKER,19500826.0,1200.0,,TS,21.8N,81.9W,45.0,,,,,,,,,,,,,
84,AL021950,BAKER,19500826.0,1800.0,,TS,21.9N,82.5W,50.0,,,,,,,,,,,,,
85,AL021950,BAKER,19500827.0,0.0,,TS,22.0N,83.2W,50.0,,,,,,,,,,,,,
86,AL021950,BAKER,19500827.0,600.0,,TS,22.2N,84.0W,45.0,,,,,,,,,,,,,
87,AL021950,BAKER,19500827.0,1200.0,,TS,22.3N,84.6W,50.0,,,,,,,,,,,,,
88,AL021950,BAKER,19500827.0,1800.0,,TS,22.4N,85.3W,55.0,996.0,,,,,,,,,,,,
89,AL021950,BAKER,19500828.0,0.0,,TS,22.6N,86.1W,55.0,,,,,,,,,,,,,
90,AL021950,BAKER,19500828.0,600.0,,TS,22.8N,86.8W,55.0,,,,,,,,,,,,,
91,AL021950,BAKER,19500828.0,1200.0,,TS,23.0N,87.2W,55.0,998.0,,,,,,,,,,,,
92,AL021950,BAKER,19500828.0,1800.0,,TS,23.2N,87.5W,55.0,996.0,,,,,,,,,,,,
93,AL021950,BAKER,19500829.0,0.0,,HU,23.5N,87.7W,65.0,,,,,,,,,,,,,
