,ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW,Year,Month,Day,lat,lng,county_name,state_name,population,Population
0,AL011950,ABLE,19500812.0,0.0,,TS,17.1,55.5,35.0,,,,,,,,,,,,,,1950,08,12,17.0,-55.1,Miami Dade,Florida,,0
1,AL011950,ABLE,19500812.0,600.0,,TS,17.7,56.3,40.0,,,,,,,,,,,,,,1950,08,12,17.1,-56.0,Miami Dade,Florida,,0
2,AL011950,ABLE,19500812.0,1200.0,,TS,18.2,57.4,45.0,,,,,,,,,,,,,,1950,08,12,18.0,-57.1,Miami Dade,Florida,,0
3,AL011950,ABLE,19500812.0,1800.0,,TS,19.0,58.6,50.0,,,,,,,,,,,,,,1950,08,12,19.0,-58.1,Miami Dade,Florida,,0
4,AL011950,ABLE,19500813.0,0.0,,TS,20.0,60.0,50.0,,,,,,,,,,,,,,1950,08,13,20.0,-60.0,Miami Dade,Florida,,0
5,AL011950,ABLE,19500813.0,600.0,,TS,20.7,61.1,50.0,,,,,,,,,,,,,,1950,08,13,20.1,-61.0,Miami Dade,Florida,,0
6,AL011950,ABLE,19500813.0,1200.0,,TS,21.3,62.2,55.0,,,,,,,,,,,,,,1950,08,13,21.1,-62.0,Miami Dade,Florida,,0
7,AL011950,ABLE,19500813.0,1800.0,,TS,22.0,63.2,55.0,997.0,,,,,,,,,,,,,1950,08,13,22.0,-63.0,Miami Dade,Florida,,0
8,AL011950,ABLE,19500814.0,0.0,,TS,22.7,63.8,60.0,995.0,,,,,,,,,,,,,1950,08,14,22.1,-63.1,Miami Dade,Florida,,0
9,AL011950,ABLE,19500814.0,600.0,,TS,23.1,64.6,60.0,,,,,,,,,,,,,,1950,08,14,23.0,-64.1,Miami Dade,Florida,,0
10,AL011950,ABLE,19500814.0,1200.0,,TS,23.4,65.4,60.0,995.0,,,,,,,,,,,,,1950,08,14,23.1,-65.1,Miami Dade,Florida,,0
11,AL011950,ABLE,19500814.0,1800.0,,HU,23.9,66.0,65.0,989.0,,,,,,,,,,,,,1950,08,14,23.1,-66.0,Miami Dade,Florida,,0
12,AL011950,ABLE,19500815.0,0.0,,HU,24.4,66.2,65.0,,,,,,,,,,,,,,1950,08,15,24.1,-66.0,Miami Dade,Florida,,0
13,AL011950,ABLE,19500815.0,600.0,,HU,24.8,66.5,65.0,,,,,,,,,,,,,,1950,08,15,24.1,-66.1,Miami Dade,Florida,,0
14,AL011950,ABLE,19500815.0,1200.0,,HU,25.2,66.8,70.0,987.0,,,,,,,,,,,,,1950,08,15,25.0,-66.1,Carteret,North Carolina,,67426
15,AL011950,ABLE,19500815.0,1800.0,,HU,25.5,67.5,75.0,,,,,,,,,,,,,,1950,08,15,25.1,-67.1,Palm Beach,Florida,,1337065
16,AL011950,ABLE,19500816.0,0.0,,HU,25.7,68.1,80.0,,,,,,,,,,,,,,1950,08,16,25.1,-68.0,Palm Beach,Florida,,1337065
17,AL011950,ABLE,19500816.0,600.0,,HU,25.7,68.7,80.0,,,,,,,,,,,,,,1950,08,16,25.1,-68.1,Palm Beach,Florida,,1337065
18,AL011950,ABLE,19500816.0,1200.0,,HU,25.5,69.3,80.0,980.0,,,,,,,,,,,,,1950,08,16,25.1,-69.0,Palm Beach,Florida,,1337065
19,AL011950,ABLE,19500816.0,1800.0,,HU,25.4,69.8,85.0,,,,,,,,,,,,,,1950,08,16,25.1,-69.1,Palm Beach,Florida,,1337065
20,AL011950,ABLE,19500817.0,0.0,,HU,25.4,70.6,90.0,,,,,,,,,,,,,,1950,08,17,25.1,-70.1,Palm Beach,Florida,,1337065
21,AL011950,ABLE,19500817.0,600.0,,HU,25.4,71.5,95.0,,,,,,,,,,,,,,1950,08,17,25.1,-71.1,Miami Dade,Florida,,0
22,AL011950,ABLE,19500817.0,1200.0,,HU,25.5,72.6,100.0,962.0,,,,,,,,,,,,,1950,08,17,25.1,-72.1,Miami Dade,Florida,,0
23,AL011950,ABLE,19500817.0,1800.0,,HU,25.9,73.3,100.0,,,,,,,,,,,,,,1950,08,17,25.1,-73.0,Miami Dade,Florida,,0
24,AL011950,ABLE,19500818.0,0.0,,HU,26.7,73.9,100.0,,,,,,,,,,,,,,1950,08,18,26.1,-73.2,Palm Beach,Florida,,1337065
25,AL011950,ABLE,19500818.0,600.0,,HU,27.3,74.4,100.0,,,,,,,,,,,,,,1950,08,18,27.1,-74.1,Martin,Florida,,147876
26,AL011950,ABLE,19500818.0,1200.0,,HU,27.9,74.9,100.0,958.0,,,,,,,,,,,,,1950,08,18,27.1,-74.2,Martin,Florida,,147876
27,AL011950,ABLE,19500818.0,1800.0,,HU,28.4,75.3,105.0,,,,,,,,,,,,,,1950,08,18,28.1,-75.0,St. Lucie,Florida,,280487
28,AL011950,ABLE,19500819.0,0.0,,HU,29.1,75.5,105.0,,,,,,,,,,,,,,1950,08,19,29.0,-75.1,St. Lucie,Florida,,280487
29,AL011950,ABLE,19500819.0,600.0,,HU,29.9,75.5,105.0,,,,,,,,,,,,,,1950,08,19,29.1,-75.1,St. Lucie,Florida,,280487
30,AL011950,ABLE,19500819.0,1200.0,,HU,30.7,75.5,105.0,953.0,,,,,,,,,,,,,1950,08,19,30.1,-75.1,New Hanover,North Carolina,,206047
31,AL011950,ABLE,19500819.0,1800.0,,HU,31.7,75.5,110.0,,,,,,,,,,,,,,1950,08,19,31.1,-75.1,Carteret,North Carolina,,67426
32,AL011950,ABLE,19500820.0,0.0,,HU,32.8,75.2,110.0,,,,,,,,,,,,,,1950,08,20,32.1,-75.0,Carteret,North Carolina,,67426
33,AL011950,ABLE,19500820.0,600.0,,HU,34.4,74.3,105.0,,,,,,,,,,,,,,1950,08,20,34.1,-74.0,Dare,North Carolina,,34178
34,AL011950,ABLE,19500820.0,1200.0,,HU,36.0,72.7,100.0,,,,,,,,,,,,,,1950,08,20,36.0,-72.1,Dare,North Carolina,,34178
